"resp.id";"rating";"Brand";"Destination";"Price";"Duration";"Amenities";"age"
1;8;"MSC";"Greece";"1200";"14";"Spa";"old"
1;5;"MSC";"Greece";"700";"7";"Spa";"old"
1;10;"Costa";"Spain";"1200";"14";"Spa";"old"
1;1;"MSC";"Egypt";"700";"14";"Sport";"old"
1;5;"Costa";"Greece";"300";"21";"Sport";"old"
1;4;"RoyalCaribbean";"Spain";"1200";"7";"Sport";"old"
1;6;"MSC";"Spain";"700";"21";"Spa";"old"
1;10;"RoyalCaribbean";"Greece";"1200";"14";"Spa";"old"
1;5;"MSC";"Egypt";"1200";"21";"Sport";"old"
1;4;"RoyalCaribbean";"Spain";"1200";"7";"Sport";"old"
1;1;"MSC";"Sicily";"300";"14";"Sport";"old"
1;3;"MSC";"Greece";"1200";"14";"Animation";"old"
1;3;"Costa";"Sicily";"700";"21";"Sport";"old"
1;3;"MSC";"Spain";"300";"21";"Sport";"old"
1;8;"Costa";"Spain";"700";"14";"Spa";"old"
1;5;"Costa";"Sicily";"1200";"14";"Sport";"old"
1;2;"RoyalCaribbean";"Spain";"300";"7";"Animation";"old"
1;5;"Costa";"Sicily";"300";"7";"Spa";"old"
1;7;"MSC";"Greece";"300";"21";"Spa";"old"
1;6;"MSC";"Greece";"700";"14";"Spa";"old"
2;7;"MSC";"Greece";"1200";"14";"Spa";"adult"
2;1;"MSC";"Greece";"700";"7";"Spa";"adult"
2;9;"Costa";"Spain";"1200";"14";"Spa";"adult"
2;7;"MSC";"Egypt";"700";"14";"Sport";"adult"
2;8;"Costa";"Greece";"300";"21";"Sport";"adult"
2;8;"RoyalCaribbean";"Spain";"1200";"7";"Sport";"adult"
2;3;"MSC";"Spain";"700";"21";"Spa";"adult"
2;10;"RoyalCaribbean";"Greece";"1200";"14";"Spa";"adult"
2;7;"MSC";"Egypt";"1200";"21";"Sport";"adult"
2;7;"RoyalCaribbean";"Spain";"1200";"7";"Sport";"adult"
2;2;"MSC";"Sicily";"300";"14";"Sport";"adult"
2;2;"MSC";"Greece";"1200";"14";"Animation";"adult"
2;6;"Costa";"Sicily";"700";"21";"Sport";"adult"
2;6;"MSC";"Spain";"300";"21";"Sport";"adult"
2;7;"Costa";"Spain";"700";"14";"Spa";"adult"
2;7;"Costa";"Sicily";"1200";"14";"Sport";"adult"
2;2;"RoyalCaribbean";"Spain";"300";"7";"Animation";"adult"
2;5;"Costa";"Sicily";"300";"7";"Spa";"adult"
2;5;"MSC";"Greece";"300";"21";"Spa";"adult"
2;4;"MSC";"Greece";"700";"14";"Spa";"adult"
3;5;"MSC";"Greece";"1200";"14";"Spa";"adult"
3;1;"MSC";"Greece";"700";"7";"Spa";"adult"
3;10;"Costa";"Spain";"1200";"14";"Spa";"adult"
3;6;"MSC";"Egypt";"700";"14";"Sport";"adult"
3;7;"Costa";"Greece";"300";"21";"Sport";"adult"
3;8;"RoyalCaribbean";"Spain";"1200";"7";"Sport";"adult"
3;5;"MSC";"Spain";"700";"21";"Spa";"adult"
3;8;"RoyalCaribbean";"Greece";"1200";"14";"Spa";"adult"
3;7;"MSC";"Egypt";"1200";"21";"Sport";"adult"
3;7;"RoyalCaribbean";"Spain";"1200";"7";"Sport";"adult"
3;4;"MSC";"Sicily";"300";"14";"Sport";"adult"
3;2;"MSC";"Greece";"1200";"14";"Animation";"adult"
3;6;"Costa";"Sicily";"700";"21";"Sport";"adult"
3;5;"MSC";"Spain";"300";"21";"Sport";"adult"
3;8;"Costa";"Spain";"700";"14";"Spa";"adult"
3;8;"Costa";"Sicily";"1200";"14";"Sport";"adult"
3;3;"RoyalCaribbean";"Spain";"300";"7";"Animation";"adult"
3;4;"Costa";"Sicily";"300";"7";"Spa";"adult"
3;4;"MSC";"Greece";"300";"21";"Spa";"adult"
3;2;"MSC";"Greece";"700";"14";"Spa";"adult"
4;4;"MSC";"Greece";"1200";"14";"Spa";"adult"
4;1;"MSC";"Greece";"700";"7";"Spa";"adult"
4;10;"Costa";"Spain";"1200";"14";"Spa";"adult"
4;4;"MSC";"Egypt";"700";"14";"Sport";"adult"
4;7;"Costa";"Greece";"300";"21";"Sport";"adult"
4;7;"RoyalCaribbean";"Spain";"1200";"7";"Sport";"adult"
4;5;"MSC";"Spain";"700";"21";"Spa";"adult"
4;8;"RoyalCaribbean";"Greece";"1200";"14";"Spa";"adult"
4;7;"MSC";"Egypt";"1200";"21";"Sport";"adult"
4;7;"RoyalCaribbean";"Spain";"1200";"7";"Sport";"adult"
4;3;"MSC";"Sicily";"300";"14";"Sport";"adult"
4;2;"MSC";"Greece";"1200";"14";"Animation";"adult"
4;5;"Costa";"Sicily";"700";"21";"Sport";"adult"
4;5;"MSC";"Spain";"300";"21";"Sport";"adult"
4;9;"Costa";"Spain";"700";"14";"Spa";"adult"
4;9;"Costa";"Sicily";"1200";"14";"Sport";"adult"
4;3;"RoyalCaribbean";"Spain";"300";"7";"Animation";"adult"
4;5;"Costa";"Sicily";"300";"7";"Spa";"adult"
4;5;"MSC";"Greece";"300";"21";"Spa";"adult"
4;4;"MSC";"Greece";"700";"14";"Spa";"adult"
5;8;"MSC";"Greece";"1200";"14";"Spa";"young"
5;1;"MSC";"Greece";"700";"7";"Spa";"young"
5;10;"Costa";"Spain";"1200";"14";"Spa";"young"
5;2;"MSC";"Egypt";"700";"14";"Sport";"young"
5;6;"Costa";"Greece";"300";"21";"Sport";"young"
5;6;"RoyalCaribbean";"Spain";"1200";"7";"Sport";"young"
5;4;"MSC";"Spain";"700";"21";"Spa";"young"
5;10;"RoyalCaribbean";"Greece";"1200";"14";"Spa";"young"
5;6;"MSC";"Egypt";"1200";"21";"Sport";"young"
5;7;"RoyalCaribbean";"Spain";"1200";"7";"Sport";"young"
5;1;"MSC";"Sicily";"300";"14";"Sport";"young"
5;7;"MSC";"Greece";"1200";"14";"Animation";"young"
5;4;"Costa";"Sicily";"700";"21";"Sport";"young"
5;4;"MSC";"Spain";"300";"21";"Sport";"young"
5;7;"Costa";"Spain";"700";"14";"Spa";"young"
5;7;"Costa";"Sicily";"1200";"14";"Sport";"young"
5;6;"RoyalCaribbean";"Spain";"300";"7";"Animation";"young"
5;2;"Costa";"Sicily";"300";"7";"Spa";"young"
5;7;"MSC";"Greece";"300";"21";"Spa";"young"
5;3;"MSC";"Greece";"700";"14";"Spa";"young"
6;6;"MSC";"Greece";"1200";"14";"Spa";"old"
6;3;"MSC";"Greece";"700";"7";"Spa";"old"
6;10;"Costa";"Spain";"1200";"14";"Spa";"old"
6;2;"MSC";"Egypt";"700";"14";"Sport";"old"
6;4;"Costa";"Greece";"300";"21";"Sport";"old"
6;3;"RoyalCaribbean";"Spain";"1200";"7";"Sport";"old"
6;6;"MSC";"Spain";"700";"21";"Spa";"old"
6;9;"RoyalCaribbean";"Greece";"1200";"14";"Spa";"old"
6;3;"MSC";"Egypt";"1200";"21";"Sport";"old"
6;4;"RoyalCaribbean";"Spain";"1200";"7";"Sport";"old"
6;1;"MSC";"Sicily";"300";"14";"Sport";"old"
6;3;"MSC";"Greece";"1200";"14";"Animation";"old"
6;3;"Costa";"Sicily";"700";"21";"Sport";"old"
6;2;"MSC";"Spain";"300";"21";"Sport";"old"
6;8;"Costa";"Spain";"700";"14";"Spa";"old"
6;4;"Costa";"Sicily";"1200";"14";"Sport";"old"
6;3;"RoyalCaribbean";"Spain";"300";"7";"Animation";"old"
6;5;"Costa";"Sicily";"300";"7";"Spa";"old"
6;5;"MSC";"Greece";"300";"21";"Spa";"old"
6;4;"MSC";"Greece";"700";"14";"Spa";"old"
7;6;"MSC";"Greece";"1200";"14";"Spa";"old"
7;3;"MSC";"Greece";"700";"7";"Spa";"old"
7;9;"Costa";"Spain";"1200";"14";"Spa";"old"
7;2;"MSC";"Egypt";"700";"14";"Sport";"old"
7;4;"Costa";"Greece";"300";"21";"Sport";"old"
7;3;"RoyalCaribbean";"Spain";"1200";"7";"Sport";"old"
7;7;"MSC";"Spain";"700";"21";"Spa";"old"
7;10;"RoyalCaribbean";"Greece";"1200";"14";"Spa";"old"
7;4;"MSC";"Egypt";"1200";"21";"Sport";"old"
7;4;"RoyalCaribbean";"Spain";"1200";"7";"Sport";"old"
7;1;"MSC";"Sicily";"300";"14";"Sport";"old"
7;2;"MSC";"Greece";"1200";"14";"Animation";"old"
7;2;"Costa";"Sicily";"700";"21";"Sport";"old"
7;2;"MSC";"Spain";"300";"21";"Sport";"old"
7;9;"Costa";"Spain";"700";"14";"Spa";"old"
7;4;"Costa";"Sicily";"1200";"14";"Sport";"old"
7;2;"RoyalCaribbean";"Spain";"300";"7";"Animation";"old"
7;6;"Costa";"Sicily";"300";"7";"Spa";"old"
7;6;"MSC";"Greece";"300";"21";"Spa";"old"
7;5;"MSC";"Greece";"700";"14";"Spa";"old"
8;7;"MSC";"Greece";"1200";"14";"Spa";"young"
8;1;"MSC";"Greece";"700";"7";"Spa";"young"
8;10;"Costa";"Spain";"1200";"14";"Spa";"young"
8;1;"MSC";"Egypt";"700";"14";"Sport";"young"
8;7;"Costa";"Greece";"300";"21";"Sport";"young"
8;5;"RoyalCaribbean";"Spain";"1200";"7";"Sport";"young"
8;3;"MSC";"Spain";"700";"21";"Spa";"young"
